Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
7717 Sumac Road,Irving,TX,75063,Single Family,Active,,10/11/2023 10:40:00 PM,700000,,,4,3,3080,0.234,1991,40,,,https://www.xome.com/homes-for-sale/7717-Sumac-Road-Irving-TX-75063-385262405,20434782,N,32.9154,-96.97513
112 Concho Drive,Irving,TX,75039,Single Family,Active,,10/11/2023 5:12:00 AM,785000,,,4,3,3490,0.114,2010,41,,,https://www.xome.com/homes-for-sale/112-Concho-Drive-Irving-TX-75039-385233216,20448896,N,32.90272,-96.94376
1413 Mosswood Lane,Irving,TX,75061,Single Family,Active,,10/10/2023 10:55:00 PM,494900,,,4,3,2931,0.242,1968,41,,,https://www.xome.com/homes-for-sale/1413-Mosswood-Lane-Irving-TX-75061-385229412,20452068,N,32.82877,-96.95646
118 Fox Glen Circle,Irving,TX,75062,Single Family,Active,,10/10/2023 12:58:00 PM,620000,,,2,3,2051,0.127,1979,41,,,https://www.xome.com/homes-for-sale/118-Fox-Glen-Circle-Irving-TX-75062-385217678,20448098,N,32.85414,-96.95007
1018 Hadrian Street,Irving,TX,75062,Single Family,Active,,10/9/2023 12:55:00 PM,499000,,,4,3,2204,0.197,1963,42,,,https://www.xome.com/homes-for-sale/1018-Hadrian-Street-Irving-TX-75062-385189851,20448541,N,32.85787,-96.95853
1145 Bay Side Drive,Irving,TX,75060,Single Family,Active,,10/7/2023 4:55:00 PM,435000,,,3,3,2025,0.141,1998,44,,,https://www.xome.com/homes-for-sale/1145-Bay-Side-Drive-Irving-TX-75060-385166506,20449874,N,32.79382,-96.96191
330 Las Colinas Boulevard Unit 222,Irving,TX,75039,Condo,Active,,10/7/2023 11:55:00 AM,265000,,,1,1,740,3.217,2001,45,,,https://www.xome.com/homes-for-sale/330-Las-Colinas-Boulevard-Unit-222-Irving-TX-75039-385162312,20444286,N,32.86558,-96.93816
3408 Plantation Drive,Irving,TX,75062,Single Family,Active,,10/6/2023 2:41:00 PM,595000,,,3,2,2379,0.207,1974,45,,,https://www.xome.com/homes-for-sale/3408-Plantation-Drive-Irving-TX-75062-385136518,20439464,N,32.85151,-96.95407
7403 Native Oak Lane,Irving,TX,75063,Single Family,Active,Contingent,10/6/2023 9:06:00 AM,799000,,,4,3,3698,0.251,1993,46,,,https://www.xome.com/homes-for-sale/7403-Native-Oak-Lane-Irving-TX-75063-385127328,20447828,N,32.90806,-96.9648
2409 Northlake Court,Irving,TX,75038,Townhouse,Active,,10/6/2023 6:50:00 AM,229900,,,2,2,1029,0.059,1983,46,,,https://www.xome.com/homes-for-sale/2409-Northlake-Court-Irving-TX-75038-385122441,20448473,N,32.8654,-96.97993
