Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
3804 Meadowmere Lane,Arlington,TX,76001,Single Family,NEW LISTING,,12/14/2023 4:23:00 PM,429999,,,3,2,2057,0.356,1990,2,12/17/2023 10:00:00 AM,12/17/2023 12:00:00 PM,https://www.xome.com/homes-for-sale/3804-Meadowmere-Lane-Arlington-TX-76001-387352656,20495286,N,32.64178,-97.16877
501 Colvin Street,Fort Worth,TX,76104,Single Family,NEW LISTING,,12/14/2023 4:23:00 PM,228000,,,3,1,1084,0.146,1944,2,,,https://www.xome.com/homes-for-sale/501-Colvin-Street-Fort-Worth-TX-76104-387352654,20491946,N,32.71404,-97.32299
600 NE 30th Street,Fort Worth,TX,76106,Land,NEW LISTING,,12/14/2023 4:21:00 PM,100000,,,,,,0.41,,2,,,https://www.xome.com/landlots-for-sale/600-NE-30th-Street-Fort-Worth-TX-76106-387352478,20495300,N,32.79921,-97.34573
2230 David Drive,Fort Worth,TX,76111,Single Family,NEW LISTING,,12/14/2023 3:52:00 PM,176800,,,3,1,1607,0.188,1952,2,,,https://www.xome.com/homes-for-sale/2230-David-Drive-Fort-Worth-TX-76111-387351784,20495284,N,32.79306,-97.29716
3724 Lightland Road,Fort Worth,TX,76137,Single Family,NEW LISTING,,12/14/2023 3:07:00 PM,295000,,,3,2,1264,0.18,1984,2,12/17/2023 3:30:00 AM,12/17/2023 5:30:00 PM,https://www.xome.com/homes-for-sale/3724-Lightland-Road-Fort-Worth-TX-76137-387350678,20495257,N,32.87505,-97.30106
346 W Harwood Road Unit B,Hurst,TX,76054,Townhouse,NEW LISTING,,12/14/2023 2:37:00 PM,269900,,,3,2,1341,0.073,1984,2,,,https://www.xome.com/homes-for-sale/346-W-Harwood-Road-Unit-B-Hurst-TX-76054-387349871,20492548,N,32.84972,-97.17379
533 Parkcrest Drive,Grand Prairie,TX,75052,Single Family,NEW LISTING,,12/14/2023 2:37:00 PM,550000,,,5,3,3505,0.187,1998,2,,,https://www.xome.com/homes-for-sale/533-Parkcrest-Drive-Grand-Prairie-TX-75052-387349860,20443054,N,32.67189,-97.00084
2420 Laurelhill Lane,Fort Worth,TX,76133,Single Family,NEW LISTING,,12/14/2023 2:37:00 PM,285000,,,3,2,1484,0.115,1998,2,,,https://www.xome.com/homes-for-sale/2420-Laurelhill-Lane-Fort-Worth-TX-76133-387349851,20495042,N,32.64267,-97.35727
1336 E Maddox Avenue,Fort Worth,TX,76104,Single Family,NEW LISTING,,12/14/2023 2:25:00 PM,225000,,,2,1,1284,0.0298,1928,2,,,https://www.xome.com/homes-for-sale/1336-E-Maddox-Avenue-Fort-Worth-TX-76104-387349435,20494919,N,32.7269,-97.30808
5818 Forest Hill Drive,Forest Hill,TX,76119,Single Family,NEW LISTING,,12/14/2023 2:07:00 PM,209900,,,3,2,1893,0.427,1959,2,,,https://www.xome.com/homes-for-sale/5818-Forest-Hill-Drive-Forest-Hill-TX-76119-387349059,20474770,N,32.67331,-97.27575
1901 Beach Drive,Dallas,TX,75051,Single Family,NEW LISTING,,12/14/2023 1:52:00 PM,380000,,,4,3,2080,0.168,2011,2,,,https://www.xome.com/homes-for-sale/1901-Beach-Drive-Dallas-TX-75051-387348713,20494591,N,32.71828,-96.97642
4104 Dutton Drive,Dallas,TX,75211,Single Family,NEW LISTING,,12/14/2023 1:37:00 PM,184700,,,3,1,1040,0.195,1958,2,,,https://www.xome.com/homes-for-sale/4104-Dutton-Drive-Dallas-TX-75211-387348254,20495180,N,32.72521,-96.88696
1918 Southstone Lane,Irving,TX,75060,Single Family,NEW LISTING,,12/14/2023 1:07:00 PM,355000,,,3,2,1710,0.165,1968,2,,,https://www.xome.com/homes-for-sale/1918-Southstone-Lane-Irving-TX-75060-387347310,20495050,N,32.79041,-96.97241
2004 Cliffside Drive,Edgecliff Village,TX,76134,Single Family,NEW LISTING,,12/14/2023 12:37:00 PM,276000,,,3,2,1599,0.202,1969,2,,,https://www.xome.com/homes-for-sale/2004-Cliffside-Drive-Edgecliff-Village-TX-76134-387346534,20494929,N,32.65707,-97.34922
6403 Hidden Springs Drive,Arlington,TX,76001,Single Family,NEW LISTING,,12/14/2023 12:37:00 PM,279000,,,3,2,1545,0.161,1983,2,12/17/2023 1:00:00 PM,12/17/2023 4:00:00 PM,https://www.xome.com/homes-for-sale/6403-Hidden-Springs-Drive-Arlington-TX-76001-387346526,20493773,N,32.64114,-97.17222
800 Gettysburg Place,Bedford,TX,76022,Single Family,NEW LISTING,,12/14/2023 12:37:00 PM,299900,,,4,2,1608,0.256,1966,2,,,https://www.xome.com/homes-for-sale/800-Gettysburg-Place-Bedford-TX-76022-387346523,20493533,N,32.82236,-97.13779
6956 Capella Park Avenue,Dallas,TX,75236,Single Family,NEW LISTING,,12/14/2023 12:07:00 PM,560000,,,4,3,3019,0.1994,2011,2,,,https://www.xome.com/homes-for-sale/6956-Capella-Park-Avenue-Dallas-TX-75236-387345640,20492991,N,32.70089,-96.94558
610/612 W Sanford Street,Arlington,TX,76011,Single Family,NEW LISTING,,12/14/2023 11:36:00 AM,585000,,,4,2,1170,0.121,1954,3,,,https://www.xome.com/homes-for-sale/610612-W-Sanford-Street-Arlington-TX-76011-387344836,20493603,N,32.7528,-97.0817
2402 Melrose Drive,Mansfield,TX,76084,Single Family,NEW LISTING,,12/14/2023 11:36:00 AM,559990,,,4,3,3285,0.1791,2023,3,,,https://www.xome.com/homes-for-sale/2402-Melrose-Drive-Mansfield-TX-76084-387344829,20495062,N,32.52868,-97.10497
705/707 W Sanford Street,Arlington,TX,76012,Single Family,NEW LISTING,,12/14/2023 11:36:00 AM,700000,,,6,4,2366,0.196,1951,3,,,https://www.xome.com/homes-for-sale/705707-W-Sanford-Street-Arlington-TX-76012-387344826,20494806,N,32.7517,-97.1349
316 Tabor Drive,Arlington,TX,76002,Single Family,NEW LISTING,,12/14/2023 11:21:00 AM,400000,,,3,3,2754,0.165,1998,3,,,https://www.xome.com/homes-for-sale/316-Tabor-Drive-Arlington-TX-76002-387344330,20494141,N,32.63509,-97.10929
1415 Sayles Avenue,Arlington,TX,76018,Single Family,NEW LISTING,,12/14/2023 11:21:00 AM,319900,,,3,2,1759,0.167,1986,3,,,https://www.xome.com/homes-for-sale/1415-Sayles-Avenue-Arlington-TX-76018-387344317,20494775,N,32.66438,-97.08594
